Mercury,Venus,Mars
10.63,15.82,20.73
10.80,15.84,20.78
10.95,15.85,20.82
11.10,15.86,20.86
11.24,15.87,20.91
11.38,15.88,20.95
11.52,15.89,20.99
11.64,15.90,21.04
11.77,15.91,21.07
11.88,15.91,21.12
11.99,15.93,21.16
12.09,15.93,21.19
12.19,15.94,21.23
12.28,15.95,21.28
12.36,15.96,21.31
12.44,15.97,21.35
12.51,15.97,21.39
12.57,15.98,21.43
12.62,15.97,21.46
12.67,15.98,21.51
12.71,15.99,21.55
12.74,15.98,21.58
12.77,15.99,21.62
12.78,15.99,21.65
12.79,15.99,21.68
12.80,16.00,21.72
12.79,15.99,21.75
12.77,15.99,21.78
12.76,16.00,21.83
12.73,16.00,21.86
12.70,15.99,21.89
12.67,16.00,21.93
12.61,16.00,21.96
12.56,15.99,21.99
12.50,16.00,22.03
12.42,15.99,22.06
12.35,15.99,22.09
12.26,15.99,22.12
12.17,15.98,22.16
12.08,15.98,22.18
11.97,15.97,22.22
11.85,15.96,22.24
11.74,15.96,22.28
11.62,15.95,22.30
11.48,15.95,22.33
11.35,15.93,22.36
11.21,15.93,22.39
11.07,15.92,22.41
10.92,15.91,22.45
10.76,15.91,22.47
10.59,15.89,22.49
10.43,15.89,22.52
10.26,15.87,22.54
10.10,15.86,22.58
9.91,15.85,22.61
9.73,15.85,22.63
9.56,15.83,22.65
9.37,15.82,22.68
9.18,15.80,22.70
8.99,15.79,22.72
8.80,15.78,22.75
8.62,15.76,22.77
8.42,15.75,22.79
8.24,15.74,22.82
8.05,15.72,22.84
7.86,15.69,22.85
7.68,15.68,22.88
7.50,15.67,22.90
7.32,15.65,22.91
7.15,15.63,22.95
6.99,15.61,22.97
6.84,15.59,22.99
6.68,15.57,22.99
6.54,15.55,23.01
6.40,15.53,23.03
6.28,15.51,23.05
6.18,15.50,23.08
6.07,15.48,23.09
5.99,15.45,23.11
5.93,15.43,23.13
5.86,15.40,23.14
5.84,15.38,23.16
5.81,15.37,23.17
5.79,15.33,23.19
5.81,15.32,23.20
5.84,15.29,23.21
5.88,15.26,23.23
5.94,15.24,23.25
6.01,15.21,23.26
6.10,15.18,23.26
6.19,15.16,23.28
6.32,15.14,23.30
6.44,15.10,23.30
6.57,15.07,23.32
6.72,15.05,23.33
6.88,15.02,23.35
7.04,14.99,23.36
7.19,14.96,23.37
7.37,14.92,23.36
7.55,14.90,23.38
7.73,14.87,23.39
7.91,14.84,23.40
8.09,14.80,23.40
8.29,14.77,23.42
8.48,14.74,23.43
8.67,14.71,23.43
8.86,14.67,23.43
9.04,14.63,23.44
9.23,14.61,23.45
9.42,14.57,23.46
9.60,14.53,23.45
9.78,14.50,23.47
9.96,14.46,23.47
10.14,14.42,23.48
10.30,14.39,23.48
10.47,14.35,23.48
10.64,14.32,23.49
10.79,14.27,23.49
10.96,14.24,23.49
11.11,14.20,23.50
11.24,14.16,23.49
11.39,14.12,23.50
11.52,14.09,23.50
11.64,14.04,23.50
11.77,14.00,23.50
11.88,13.96,23.50
11.99,13.91,23.49
12.10,13.88,23.50
12.19,13.84,23.50
12.28,13.79,23.50
12.37,13.76,23.49
12.44,13.71,23.49
12.51,13.66,23.48
12.57,13.62,23.48
12.62,13.58,23.48
12.67,13.53,23.48
12.71,13.48,23.47
12.74,13.44,23.48
12.77,13.40,23.47
12.78,13.36,23.46
12.80,13.30,23.45
12.80,13.25,23.45
12.78,13.21,23.44
12.79,13.16,23.44
12.77,13.11,23.44
12.73,13.06,23.42
12.70,13.02,23.41
12.65,12.97,23.41
12.61,12.92,23.40
12.56,12.87,23.39
12.48,12.81,23.38
12.42,12.77,23.37
12.35,12.72,23.36
12.26,12.67,23.35
12.16,12.61,23.33
12.06,12.57,23.32
11.96,12.51,23.31
11.85,12.46,23.30
11.74,12.41,23.30
11.60,12.35,23.28
11.48,12.31,23.27
11.35,12.25,23.26
11.21,12.19,23.25
11.06,12.13,23.23
10.91,12.09,23.22
10.75,12.03,23.20
10.60,11.98,23.19
10.42,11.92,23.17
10.26,11.86,23.15
10.08,11.80,23.15
9.90,11.75,23.11
9.73,11.68,23.10
9.54,11.63,23.09
9.36,11.57,23.06
9.17,11.52,23.04
8.99,11.46,23.04
8.80,11.40,23.01
8.60,11.34,23.00
8.42,11.28,22.98
8.22,11.22,22.95
8.05,11.16,22.94
7.86,11.11,22.92
7.67,11.05,22.89
7.50,10.98,22.88
7.32,10.93,22.86
7.15,10.87,22.84
6.98,10.80,22.81
6.82,10.75,22.79
6.68,10.68,22.77
6.53,10.61,22.74
6.40,10.55,22.72
6.28,10.49,22.70
6.17,10.43,22.67
6.07,10.37,22.65
5.99,10.30,22.62
5.92,10.24,22.60
5.87,10.18,22.57
5.82,10.11,22.54
5.81,10.05,22.52
5.81,9.98,22.49
5.81,9.91,22.46
5.84,9.85,22.43
5.88,9.79,22.41
5.94,9.72,22.38
6.02,9.65,22.36
6.11,9.59,22.32
6.20,9.52,22.29
6.31,9.45,22.26
6.45,9.39,22.24
6.58,9.33,22.20
6.72,9.25,22.18
6.88,9.19,22.14
7.03,9.11,22.11
7.21,9.05,22.08
7.38,8.99,22.06
7.55,8.92,22.01
7.74,8.85,21.99
7.92,8.79,21.95
8.11,8.71,21.92
8.30,8.65,21.88
8.48,8.58,21.85
8.68,8.51,21.82
8.86,8.44,21.79
9.06,8.37,21.75
9.24,8.30,21.71
9.42,8.23,21.67
9.62,8.17,21.64
9.79,8.09,21.60
9.97,8.02,21.57
10.14,7.96,21.52
10.32,7.88,21.50
10.49,7.81,21.46
10.64,7.73,21.41
10.80,7.67,21.38
10.95,7.60,21.34
11.10,7.52,21.30
11.25,7.46,21.26
11.39,7.38,21.23
11.53,7.31,21.19
11.65,7.24,21.14
11.77,7.17,21.10
11.89,7.11,21.06
12.00,7.03,21.02
12.10,6.95,20.98
12.19,6.89,20.94
12.30,6.81,20.90
12.37,6.73,20.86
12.44,6.67,20.81
12.51,6.60,20.77
12.57,6.53,20.73
12.63,6.45,20.69
12.68,6.39,20.64
12.71,6.31,20.60
12.75,6.24,20.56
12.77,6.16,20.50
12.79,6.10,20.47
12.80,6.03,20.42
12.80,5.96,20.37
12.80,5.88,20.33
12.79,5.81,20.28
12.76,5.74,20.22
12.73,5.67,20.18
12.70,5.60,20.13
12.66,5.53,20.08
12.60,5.45,20.04
12.55,5.39,19.99
12.49,5.31,19.95
12.42,5.24,19.89
12.34,5.17,19.85
12.25,5.10,19.79
12.16,5.03,19.75
12.06,4.96,19.70
11.96,4.90,19.65
11.86,4.83,19.59
11.72,4.75,19.55
11.60,4.68,19.50
11.48,4.62,19.44
11.34,4.55,19.40
11.20,4.48,19.35
11.05,4.41,19.28
10.90,4.35,19.24
10.75,4.29,19.18
10.58,4.22,19.14
10.42,4.15,19.08
10.25,4.09,19.02
10.08,4.02,18.97
9.90,3.96,18.91
9.72,3.91,18.86
9.54,3.84,18.81
9.35,3.78,18.75
9.17,3.72,18.69
8.98,3.66,18.64
8.79,3.61,18.59
8.60,3.54,18.53
8.41,3.49,18.47
8.23,3.44,18.42
8.03,3.38,18.36
7.84,3.32,18.30
7.67,3.27,18.25
7.49,3.23,18.18
7.31,3.18,18.13
7.14,3.13,18.07
6.97,3.08,18.01
6.82,3.03,17.96
6.66,2.99,17.89
6.53,2.96,17.84
6.39,2.91,17.77
6.28,2.88,17.71
6.16,2.84,17.66
6.07,2.81,17.60
5.99,2.78,17.54
5.91,2.74,17.47
5.87,2.72,17.42
5.83,2.70,17.36
5.81,2.68,17.29
5.81,2.65,17.23
5.82,2.64,17.17
5.84,2.63,17.11
5.90,2.62,17.05
5.94,2.60,16.97
6.02,2.61,16.92
6.11,2.60,16.85
6.21,2.60,16.78
6.33,2.60,16.73
6.45,2.61,16.67
6.58,2.62,16.60
6.73,2.62,16.53
6.88,2.64,16.47
7.04,2.66,16.41
7.21,2.68,16.35
7.38,2.70,16.27
7.56,2.71,16.21
7.74,2.75,16.14
7.93,2.77,16.08
8.12,2.80,16.01
8.30,2.84,15.94
8.50,2.87,15.88
8.68,2.91,15.81
8.87,2.95,15.75
9.06,2.99,15.68
9.24,3.02,15.61
9.44,3.07,15.55
9.61,3.12,15.48
9.80,3.17,15.41
9.98,3.22,15.35
10.15,3.27,15.27
10.33,3.32,15.21
10.49,3.36,15.13
10.66,3.42,15.07
10.81,3.47,14.99
10.97,3.54,14.93
11.12,3.60,14.86
11.26,3.65,14.79
11.40,3.70,14.72
11.53,3.77,14.65
11.66,3.82,14.58
11.78,3.89,14.51
11.89,3.95,14.43
12.01,4.01,14.37
12.10,4.08,14.31
12.20,4.14,14.23
12.29,4.21,14.16
12.37,4.27,14.09
